"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 09:37:40 EEST 2024","Wed Aug 21 09:37:44 EEST 2024","3848","Mobile Chrome","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should verify the logo",""
"passed","Wed Aug 21 09:37:36 EEST 2024","Wed Aug 21 09:37:42 EEST 2024","5374","Mobile Chrome","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should verify home page title",""
"passed","Wed Aug 21 09:37:46 EEST 2024","Wed Aug 21 09:38:09 EEST 2024","22338","Mobile Safari","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should search, select and verify item",""
"passed","Wed Aug 21 09:37:44 EEST 2024","Wed Aug 21 09:37:50 EEST 2024","5295","Mobile Chrome","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should select option from footer, go there and verify the page title",""
"passed","Wed Aug 21 09:37:26 EEST 2024","Wed Aug 21 09:37:41 EEST 2024","14582","Desktop Tests","desktop\desktopTests.spec.js","Desktop Tests @desktop","","","should search, select and verify item",""
"passed","Wed Aug 21 09:37:26 EEST 2024","Wed Aug 21 09:37:35 EEST 2024","9123","Desktop Tests","desktop\desktopTests.spec.js","Desktop Tests @desktop","","","should select search category, search and verify searching result",""
"passed","Wed Aug 21 09:37:52 EEST 2024","Wed Aug 21 09:37:59 EEST 2024","6999","Mobile Safari","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should select option from footer, go there and verify the page title",""
"passed","Wed Aug 21 09:37:36 EEST 2024","Wed Aug 21 09:37:56 EEST 2024","19601","Mobile Chrome","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should search, select and verify item",""
"passed","Wed Aug 21 09:37:26 EEST 2024","Wed Aug 21 09:37:33 EEST 2024","6977","Desktop Tests","desktop\desktopTests.spec.js","Desktop Tests @desktop","","","should verify home page title",""
"passed","Wed Aug 21 09:37:48 EEST 2024","Wed Aug 21 09:37:52 EEST 2024","3475","Mobile Safari","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should verify home page title",""
"passed","Wed Aug 21 09:37:26 EEST 2024","Wed Aug 21 09:37:33 EEST 2024","6687","Desktop Tests","desktop\desktopTests.spec.js","Desktop Tests @desktop","","","should verify the logo",""
"passed","Wed Aug 21 09:37:52 EEST 2024","Wed Aug 21 09:37:57 EEST 2024","5158","Mobile Safari","mobile\mobileTests.spec.js","Mobile Tests @mobile","","","should verify the logo",""
